GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No vehicle available,Margin of Error; Total: - No vehicle available,Estimate; Total: - 1 vehicle available,Margin of Error; Total: - 1 vehicle available,Estimate; Total: - 2 vehicles available,Margin of Error; Total: - 2 vehicles available,Estimate; Total: - 3 vehicles available,Margin of Error; Total: - 3 vehicles available,Estimate; Total: - 4 or more vehicles available,Margin of Error; Total: - 4 or more vehicles available,Estimate; Total: - 1-person household:,Margin of Error; Total: - 1-person household:,Estimate; Total: - 1-person household: - No vehicle available,Margin of Error; Total: - 1-person household: - No vehicle available,Estimate; Total: - 1-person household: - 1 vehicle available,Margin of Error; Total: - 1-person household: - 1 vehicle available,Estimate; Total: - 1-person household: - 2 vehicles available,Margin of Error; Total: - 1-person household: - 2 vehicles available,Estimate; Total: - 1-person household: - 3 vehicles available,Margin of Error; Total: - 1-person household: - 3 vehicles available,Estimate; Total: - 1-person household: - 4 or more vehicles available,Margin of Error; Total: - 1-person household: - 4 or more vehicles available,Estimate; Total: - 2-person household:,Margin of Error; Total: - 2-person household:,Estimate; Total: - 2-person household: - No vehicle available,Margin of Error; Total: - 2-person household: - No vehicle available,Estimate; Total: - 2-person household: - 1 vehicle available,Margin of Error; Total: - 2-person household: - 1 vehicle available,Estimate; Total: - 2-person household: - 2 vehicles available,Margin of Error; Total: - 2-person household: - 2 vehicles available,Estimate; Total: - 2-person household: - 3 vehicles available,Margin of Error; Total: - 2-person household: - 3 vehicles available,Estimate; Total: - 2-person household: - 4 or more vehicles available,Margin of Error; Total: - 2-person household: - 4 or more vehicles available,Estimate; Total: - 3-person household:,Margin of Error; Total: - 3-person household:,Estimate; Total: - 3-person household: - No vehicle available,Margin of Error; Total: - 3-person household: - No vehicle available,Estimate; Total: - 3-person household: - 1 vehicle available,Margin of Error; Total: - 3-person household: - 1 vehicle available,Estimate; Total: - 3-person household: - 2 vehicles available,Margin of Error; Total: - 3-person household: - 2 vehicles available,Estimate; Total: - 3-person household: - 3 vehicles available,Margin of Error; Total: - 3-person household: - 3 vehicles available,Estimate; Total: - 3-person household: - 4 or more vehicles available,Margin of Error; Total: - 3-person household: - 4 or more vehicles available,Estimate; Total: - 4-or-more-person household:,Margin of Error; Total: - 4-or-more-person household:,Estimate; Total: - 4-or-more-person household: - No vehicle available,Margin of Error; Total: - 4-or-more-person household: - No vehicle available,Estimate; Total: - 4-or-more-person household: - 1 vehicle available,Margin of Error; Total: - 4-or-more-person household: - 1 vehicle available,Estimate; Total: - 4-or-more-person household: - 2 vehicles available,Margin of Error; Total: - 4-or-more-person household: - 2 vehicles available,Estimate; Total: - 4-or-more-person household: - 3 vehicles available,Margin of Error; Total: - 4-or-more-person household: - 3 vehicles available,Estimate; Total: - 4-or-more-person household: - 4 or more vehicles available,Margin of Error; Total: - 4-or-more-person household: - 4 or more vehicles available
04000E0US06,06,California -- In micropolitan statistical area,219964,1451,14104,952,69373,1521,81359,1419,37285,1132,17843,767,66435,1601,9510,847,40891,1335,12540,736,2372,306,1122,252,82381,1620,2589,339,16465,950,41206,1151,16229,838,5892,487,31404,1153,1111,240,6833,596,11092,714,8529,605,3839,394,39744,1174,894,197,5184,536,16521,877,10155,671,6990,494
04000E0US08,08,Colorado -- In micropolitan statistical area,144477,1543,5925,593,40406,1434,58313,1224,26603,1060,13230,860,39231,1307,3683,474,24879,1186,8192,591,1697,210,780,203,56071,1254,1443,237,8714,668,29317,971,12174,684,4423,482,20086,1064,462,169,3465,419,8369,650,5196,535,2594,348,29089,833,337,134,3348,437,12435,729,7536,546,5433,524
04000E0US09,09,Connecticut -- In micropolitan statistical area,74605,786,4072,423,21433,788,30171,863,12715,666,6214,425,19883,717,2770,351,13773,593,2706,315,476,148,158,62,28652,905,836,191,5218,439,16307,602,4863,391,1428,245,11139,565,233,121,1334,265,4328,360,3792,407,1452,227,14931,596,233,99,1108,217,6830,463,3584,389,3176,328
04000E0US12,12,Florida -- In micropolitan statistical area,127764,1507,8989,692,52924,1226,45311,1366,14784,707,5756,592,38323,1211,5543,522,26328,1071,4953,458,936,221,563,170,48006,1347,1931,356,16404,739,23306,956,5160,495,1205,217,17756,795,783,195,4773,555,7592,633,3434,366,1174,234,23679,917,732,215,5419,567,9460,669,5254,444,2814,410
04000E0US13,13,Georgia -- In micropolitan statistical area,357757,2118,29104,1259,118826,2428,128677,2450,56331,1501,24819,1028,94946,1952,15923,1088,58206,1662,16845,1018,2929,407,1043,225,122726,1756,6758,610,29683,1235,58905,1507,21122,863,6258,515,59619,1676,3232,453,15998,858,20608,1073,14171,853,5610,581,80466,1571,3191,449,14939,915,32319,1197,18109,794,11908,731
04000E0US15,15,Hawaii -- In micropolitan statistical area,89617,1020,4116,435,28814,1044,35200,1157,14567,772,6920,539,22698,946,2828,356,15440,832,3532,424,669,192,229,126,32757,1030,660,189,8637,583,17817,903,4658,489,985,223,13178,929,323,123,2330,422,5511,536,3780,429,1234,220,20984,933,305,123,2407,361,8340,595,5460,544,4472,397
04000E0US16,16,Idaho -- In micropolitan statistical area,148600,1244,5714,523,40018,1319,57332,1297,29267,1172,16269,856,35812,1173,3845,448,22153,1017,7620,560,1367,220,827,221,54581,1141,1134,217,10182,664,26643,892,11842,752,4780,511,21290,934,305,123,4045,462,7734,570,6085,495,3121,372,36917,1006,430,137,3638,437,15335,668,9973,652,7541,584
04000E0US17,17,Illinois -- In micropolitan statistical area,353913,1719,23784,847,115393,1555,137710,1579,53852,1225,23174,732,106786,1748,16813,721,69959,1471,16338,680,2893,253,783,146,132757,1579,4153,382,27465,967,74067,1168,21031,762,6041,337,48674,1115,1193,229,9167,629,19615,697,13605,600,5094,370,65696,1229,1625,244,8802,494,27690,892,16323,732,11256,530
04000E0US18,18,Indiana -- In micropolitan statistical area,387972,1599,25045,975,115123,1706,147319,1857,68799,1632,31686,1010,103718,1843,14361,750,65588,1606,18373,882,4044,381,1352,246,141271,1901,4244,464,28074,965,73093,1421,27174,1132,8686,524,58485,1465,2391,375,10947,661,22236,1079,15475,694,7436,520,84498,1318,4049,369,10514,594,33617,1119,22106,887,14212,597
04000E0US19,19,Iowa -- In micropolitan statistical area,224036,1166,14269,796,67429,1350,84460,1443,38227,851,19651,697,68217,1153,10035,654,43655,1116,11185,601,2443,294,899,146,83466,993,2614,311,14478,671,44131,999,16347,594,5896,354,29100,987,644,151,4497,464,11647,574,8465,548,3847,316,43253,955,976,234,4799,532,17497,698,10972,556,9009,520
04000E0US20,20,Kansas -- In micropolitan statistical area,210278,1231,12416,693,63751,1362,79747,1456,35591,1184,18773,694,59291,1318,8281,602,37742,1026,10182,542,2151,266,935,177,75410,1312,2264,285,13535,686,38782,1219,14702,647,6127,449,29686,932,872,230,5967,539,11948,705,7438,509,3461,304,45891,865,999,226,6507,544,18835,741,11300,628,8250,505
04000E0US21,21,Kentucky -- In micropolitan statistical area,342670,1824,25373,1059,114452,2069,127866,2051,51672,1108,23307,814,98907,1909,16226,878,62949,1613,15980,729,2563,343,1189,220,122906,2169,5010,606,27731,1226,62655,1586,20680,757,6830,442,55706,1588,2225,363,13257,897,22030,995,12715,752,5479,398,65151,1475,1912,343,10515,691,27201,1168,15714,683,9809,647
04000E0US22,22,Louisiana -- In micropolitan statistical area,160169,1202,14210,747,60023,1480,57273,1448,21120,816,7543,579,48180,1252,7889,515,32011,961,6746,525,1172,202,362,127,54459,1267,3177,405,14789,778,27678,1018,6936,522,1879,214,25038,901,1455,254,6272,603,9372,592,6499,475,1440,241,32492,920,1689,284,6951,513,13477,603,6513,443,3862,385
04000E0US23,23,Maine -- In micropolitan statistical area,51055,628,4115,433,17463,738,20106,845,6788,455,2583,330,15039,625,2846,338,10342,566,1560,234,175,70,116,87,20421,603,828,235,4432,444,11340,678,2993,305,828,187,7329,488,97,52,1496,257,3180,324,1965,272,591,148,8266,526,344,171,1193,228,4026,370,1655,234,1048,183
04000E0US24,24,Maryland -- In micropolitan statistical area,29438,485,2088,308,9736,576,11079,564,4420,347,2115,269,8118,540,1165,236,5550,469,1138,167,201,81,64,40,13119,528,495,165,2780,361,7104,436,2050,238,690,174,3634,387,230,99,618,153,1223,210,1118,170,445,125,4567,380,198,86,788,216,1614,241,1051,168,916,192
04000E0US25,25,Massachusetts -- In micropolitan statistical area,36651,533,2410,283,13163,554,14826,633,4467,375,1785,209,11679,499,1697,238,8159,479,1485,223,256,98,82,44,13730,519,370,111,3295,318,8018,449,1669,215,378,96,5826,472,283,117,1104,216,2629,348,1351,177,459,97,5416,335,60,30,605,166,2694,258,1191,207,866,136
04000E0US26,26,Michigan -- In micropolitan statistical area,439983,1742,26885,922,140327,1743,179417,1744,64068,1307,29286,767,122362,1533,17704,713,80839,1378,19369,784,3133,278,1317,180,170348,1727,5014,380,36255,910,97155,1543,24775,643,7149,434,61289,1230,2015,261,12457,610,24380,759,16800,718,5637,363,85984,1291,2152,235,10776,549,38513,964,19360,776,15183,556
04000E0US27,27,Minnesota -- In micropolitan statistical area,292297,1558,17746,768,82170,1334,116693,1509,50812,1138,24876,650,82000,1528,13020,649,51385,1299,13432,451,2724,224,1439,179,114688,1371,2378,300,19234,694,64294,1177,21528,587,7254,347,37490,910,1066,213,5483,388,13847,616,11540,475,5554,363,58119,846,1282,224,6068,404,25120,593,15020,575,10629,468
04000E0US28,28,Mississippi -- In micropolitan statistical area,362396,2051,27965,1038,124441,1882,131641,2264,54824,1591,23525,859,108063,1910,16812,833,67301,1751,19118,1104,3616,389,1216,233,121927,2082,5356,464,28777,1098,61720,1467,19783,953,6291,577,57209,1757,3048,361,13752,910,21741,1059,13719,977,4949,523,75197,1606,2749,374,14611,842,29062,1271,17706,1065,11069,798
