GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No workers,Margin of Error; Total: - No workers,Estimate; Total: - 1 worker,Margin of Error; Total: - 1 worker,Estimate; Total: - 2 workers,Margin of Error; Total: - 2 workers,Estimate; Total: - 3 or more workers,Margin of Error; Total: - 3 or more workers,Estimate; Total: - 1-person household:,Margin of Error; Total: - 1-person household:,Estimate; Total: - 1-person household: - No workers,Margin of Error; Total: - 1-person household: - No workers,Estimate; Total: - 1-person household: - 1 worker,Margin of Error; Total: - 1-person household: - 1 worker,Estimate; Total: - 2-person household:,Margin of Error; Total: - 2-person household:,Estimate; Total: - 2-person household: - No workers,Margin of Error; Total: - 2-person household: - No workers,Estimate; Total: - 2-person household: - 1 worker,Margin of Error; Total: - 2-person household: - 1 worker,Estimate; Total: - 2-person household: - 2 workers,Margin of Error; Total: - 2-person household: - 2 workers,Estimate; Total: - 3-person household:,Margin of Error; Total: - 3-person household:,Estimate; Total: - 3-person household: - No workers,Margin of Error; Total: - 3-person household: - No workers,Estimate; Total: - 3-person household: - 1 worker,Margin of Error; Total: - 3-person household: - 1 worker,Estimate; Total: - 3-person household: - 2 workers,Margin of Error; Total: - 3-person household: - 2 workers,Estimate; Total: - 3-person household: - 3 workers,Margin of Error; Total: - 3-person household: - 3 workers,Estimate; Total: - 4-or-more-person household:,Margin of Error; Total: - 4-or-more-person household:,Estimate; Total: - 4-or-more-person household: - No workers,Margin of Error; Total: - 4-or-more-person household: - No workers,Estimate; Total: - 4-or-more-person household: - 1 worker,Margin of Error; Total: - 4-or-more-person household: - 1 worker,Estimate; Total: - 4-or-more-person household: - 2 workers,Margin of Error; Total: - 4-or-more-person household: - 2 workers,Estimate; Total: - 4-or-more-person household: - 3 or more workers,Margin of Error; Total: - 4-or-more-person household: - 3 or more workers
04000H0US39,39,Ohio -- Not in metropolitan statistical area,926511,3252,296553,2416,321205,2690,253501,2933,55252,1417,253363,2592,149358,2072,104005,1748,342551,2725,117117,1790,115356,1877,110078,1793,136723,1930,17017,885,44007,1271,56396,1282,19303,926,193874,1851,13061,855,57837,1259,87027,1676,35949,1065
04000H0US40,40,Oklahoma -- Not in metropolitan statistical area,482042,1853,159052,1591,181380,1678,122724,1483,18886,710,136261,1376,78926,1111,57335,1142,174963,1640,61336,997,60767,983,52860,1006,70057,1045,9949,421,26785,727,26964,785,6359,411,100761,1242,8841,443,36493,963,42900,1033,12527,598
04000H0US41,41,Oregon -- Not in metropolitan statistical area,265256,1710,101494,1386,90339,1640,62715,1397,10708,635,76447,1501,48532,1152,27915,1070,104630,1612,43941,1152,32804,1077,27885,997,35078,1149,5748,449,12819,702,13189,849,3322,372,49101,1177,3273,303,16801,752,21641,832,7386,456
04000H0US42,42,Pennsylvania -- Not in metropolitan statistical area,588742,2200,201233,1654,201302,1908,153411,1758,32796,764,167623,1967,102162,1705,65461,1274,224607,1956,81449,1155,75041,1235,68117,1220,87481,1494,9803,495,28928,980,36343,857,12407,562,109031,1209,7819,432,31872,831,48951,1109,20389,638
04000H0US45,45,South Carolina -- Not in metropolitan statistical area,287894,1993,108327,1607,108058,2110,60943,1527,10566,644,88529,1413,53930,1159,34599,1166,102477,1484,39716,1000,38205,1179,24556,979,44973,1179,8622,641,16799,848,15812,911,3740,432,51915,1293,6059,560,18455,1045,20575,992,6826,526
04000H0US46,46,South Dakota -- Not in metropolitan statistical area,176937,1256,45512,798,64682,1221,56723,1220,10020,497,54940,1150,24606,808,30334,895,64770,1190,16768,542,19222,714,28780,917,22123,861,1773,229,6214,471,10216,582,3920,335,35104,750,2365,193,8912,497,17727,573,6100,355
04000H0US47,47,Tennessee -- Not in metropolitan statistical area,587830,2600,217351,2113,208448,2374,136593,2131,25438,929,162156,2187,102723,1864,59433,1592,221190,2424,87644,1428,77063,1446,56483,1308,91622,2050,16118,769,32751,1215,33939,1349,8814,602,112862,1766,10866,760,39201,1200,46171,1490,16624,796
04000H0US48,48,Texas -- Not in metropolitan statistical area,1058689,4352,333727,3218,402729,3975,269624,3243,52609,1707,274741,3012,159861,2435,114880,2269,380641,3023,136874,2031,136405,1951,107362,2273,155790,2586,20090,1112,59775,1546,61891,1481,14034,902,247517,2497,16902,1047,91669,1799,100371,2498,38575,1308
04000H0US49,49,Utah -- Not in metropolitan statistical area,104589,1093,26846,676,38215,988,31446,985,8082,584,22192,783,11564,502,10628,656,36872,739,12124,435,11914,555,12834,596,14620,672,1648,245,4947,491,5835,476,2190,334,30905,811,1510,209,10726,514,12777,613,5892,482
04000H0US50,50,Vermont -- Not in metropolitan statistical area,172028,1144,50656,947,59817,1081,52591,1033,8964,455,52519,1162,27868,823,24651,844,68214,1009,19040,605,21528,701,27646,781,23223,788,2197,278,6630,451,10951,592,3445,283,28072,714,1551,226,7008,486,13994,494,5519,383
04000H0US51,51,Virginia -- Not in metropolitan statistical area,422006,2416,155664,2032,147328,2039,100503,1872,18511,846,123585,2233,77567,1603,46018,1556,160586,2047,61163,1407,54467,1348,44956,1310,63639,1606,10192,593,22342,1004,24166,965,6939,572,74196,1651,6742,521,24501,1035,31381,1162,11572,667
04000H0US53,53,Washington -- Not in metropolitan statistical area,285119,1767,106924,1368,96656,1574,69993,1281,11546,673,79053,1660,49558,1406,29495,1095,113974,1696,47250,966,34687,1179,32037,1032,37811,1177,5921,513,13951,807,14270,848,3669,302,54281,1305,4195,474,18523,790,23686,971,7877,599
04000H0US54,54,West Virginia -- Not in metropolitan statistical area,282808,1610,117306,1535,96308,1872,59088,1377,10106,620,80263,1565,53629,1148,26634,1158,107036,1759,47433,1182,34494,1128,25109,943,45327,1397,9180,504,17427,905,15142,785,3578,379,50182,1010,7064,525,17753,875,18837,797,6528,472
04000H0US55,55,Wisconsin -- Not in metropolitan statistical area,620105,3922,186821,1865,207395,2123,186447,2021,39442,968,177604,2092,97435,1612,80169,1389,248079,1860,78223,1025,74584,1173,95272,1308,80169,1498,6241,416,23893,714,34719,1004,15316,703,114253,1321,4922,343,28749,747,56456,1103,24126,621
04000H0US56,56,Wyoming -- Not in metropolitan statistical area,158806,1389,37819,992,61563,1450,51346,1424,8078,588,44445,1305,19575,849,24870,1068,60642,1211,15503,535,19600,803,25539,944,21803,955,1346,236,7109,640,10195,707,3153,415,31916,1075,1395,263,9984,608,15612,852,4925,469
04000H0US72,72,Puerto Rico -- Not in metropolitan statistical area,51266,934,26684,831,17089,988,6352,632,1141,276,13350,701,10009,648,3341,420,16134,675,9642,545,5130,505,1362,268,10300,707,3920,357,4111,498,1837,358,432,196,11482,596,3113,368,4507,518,3153,471,709,200
