GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0400001US29,29,Missouri -- Urban,4293811,4862,3303317,6597,681423,2814,16029,1041,105029,1654,4663,546,63044,3203,120306,3330,9797,1190,110509,2850
0400001US30,30,Montana -- Urban,578947,2321,518875,2566,3607,400,30141,1104,5342,400,365,142,3615,741,17002,977,910,312,16092,977
0400001US31,31,Nebraska -- Urban,1398426,1807,1191460,3086,87041,1250,8786,831,40094,985,1282,346,31267,2576,38496,1617,4121,625,34375,1509
0400001US32,32,Nevada -- Urban,2721445,2857,1799031,6064,247274,2416,24187,1492,228881,2174,18417,675,273445,5821,130210,3816,21352,1660,108858,3233
0400001US33,33,New Hampshire -- Urban,802030,3191,733382,3280,15453,919,1385,353,27756,795,193,100,5855,814,18006,1027,1806,399,16200,921
0400001US34,34,New Jersey -- Urban,8490452,4207,5669950,10493,1184365,4248,16899,1150,830457,2557,2947,395,565457,9943,220377,4969,51114,2313,169263,4155
0400001US35,35,New Mexico -- Urban,1622841,4164,1235817,6496,38460,1059,98862,2188,27306,1068,1236,245,163800,5771,57360,2490,19966,1390,37394,2045
0400001US36,36,New York -- Urban,17463601,6606,10437330,17200,3060179,8779,64680,2725,1630747,3723,7316,742,1710671,19318,552678,9581,144594,4645,408084,8270
0400001US37,37,North Carolina -- Urban,6713794,9694,4318405,11714,1681370,6179,40958,1579,243571,2362,4837,514,238323,6219,186330,4582,19530,1467,166800,4364
0400001US38,38,North Dakota -- Urban,447406,1623,394982,1677,14947,825,11975,737,8745,563,279,119,4072,708,12406,1038,816,298,11590,976
0400001US39,39,Ohio -- Urban,9069008,7193,7046484,8278,1404222,4254,18166,1109,225579,1983,3028,341,93928,3411,277601,5106,22788,1574,254813,4739
0400001US40,40,Oklahoma -- Urban,2594256,4401,1828662,5176,253355,2218,147214,2586,72482,1295,4630,377,87613,2869,200300,3268,11729,979,188571,3072
0400001US41,41,Oregon -- Urban,3280375,5155,2729911,7409,73596,1557,30890,1959,159355,1893,14265,778,110532,4189,161826,3827,15972,1502,145854,3710
0400001US42,42,Pennsylvania -- Urban,10095231,7923,7778868,10481,1383149,4491,22050,1614,400471,2179,3223,656,240489,5408,266981,4832,32827,1948,234154,4497
0400001US44,44,Rhode Island -- Urban,958309,1886,761417,3471,67589,1774,5012,623,34294,867,668,141,59380,3109,29949,2034,6820,974,23129,1708
0400001US45,45,South Carolina -- Urban,3288114,7884,2175821,6975,903276,4884,8853,791,63611,1549,2493,418,56879,2712,77181,2962,8782,1165,68399,2781
0400001US46,46,South Dakota -- Urban,489795,1650,419690,1946,13146,637,26050,1139,9941,486,264,89,5226,857,15478,1054,1201,400,14277,940
0400001US47,47,Tennessee -- Urban,4400818,6677,3092650,6909,1017392,2996,11815,876,97782,1950,2958,499,77426,3517,100795,3459,9118,1080,91677,3202
0400001US48,48,Texas -- Urban,23206432,13756,16785082,27325,3052187,8817,106569,3964,1191157,4373,21490,1304,1431901,17812,618046,11033,132554,5713,485492,7818
0400001US49,49,Utah -- Urban,2702646,3287,2333001,5628,32240,1091,21022,1200,65455,1340,26194,1185,145708,4295,79026,2687,13806,1258,65220,2528
0400001US50,50,Vermont -- Urban,243871,2056,223760,1961,5590,376,549,144,7313,518,43,33,1277,277,5339,526,251,78,5088,522
0400001US51,51,Virginia -- Urban,6358364,6196,4054868,7675,1348558,4663,16917,1172,498084,2859,4608,380,185014,5811,250315,4672,27237,1602,223078,4463
0400001US53,53,Washington -- Urban,6058120,6701,4522616,9540,253669,3238,60891,2079,563811,3662,44103,1075,256951,7122,356079,4878,32634,2069,323445,4712
0400001US54,54,West Virginia -- Urban,901835,3916,807510,3915,53295,1357,1455,291,11926,569,377,153,5324,928,21948,1263,1151,289,20797,1250
0400001US55,55,Wisconsin -- Urban,4044431,3732,3313760,5735,355326,2100,23816,1015,140787,1614,1453,351,101202,3668,108087,2685,14128,1344,93959,2518
0400001US56,56,Wyoming -- Urban,377730,1805,342908,1982,5257,579,5081,635,4041,474,414,262,8899,1149,11130,969,1676,381,9454,905
0400001US72,72,Puerto Rico -- Urban,3265102,5228,2244375,10953,321189,6397,10719,1261,7393,1040,136,70,477819,7149,203471,5901,17997,1161,185474,5809
0400043US01,01,Alabama -- Rural,1978972,6531,1586990,6513,312840,3981,15916,986,10382,1087,630,218,18825,1838,33389,1637,2671,622,30718,1628
0400043US02,02,Alaska -- Rural,250105,2166,162358,2106,2097,354,58772,991,7598,581,848,126,2089,404,16343,917,445,119,15898,918
0400043US04,04,Arizona -- Rural,700784,7665,500357,6645,13932,1188,132623,2596,7873,793,1570,354,26098,2356,18331,1312,2573,471,15758,1115
0400043US05,05,Arkansas -- Rural,1290365,5240,1135602,5114,96444,2319,9275,841,7059,708,487,244,15446,1259,26052,1435,1435,339,24617,1341
0400043US06,06,California -- Rural,1913962,11787,1558435,10486,37466,1851,37093,1585,69522,2724,3811,634,130049,4484,77586,2418,13565,1295,64021,1960
0400043US08,08,Colorado -- Rural,752582,4534,697299,4650,7299,722,8512,693,8123,675,773,220,13457,1312,17119,1211,2066,344,15053,1152
0400043US09,09,Connecticut -- Rural,425955,3834,400181,3641,5221,859,1153,255,7812,782,38,24,2774,560,8776,820,583,206,8193,802
0400043US10,10,Delaware -- Rural,164647,2827,138888,2591,17607,1394,691,159,2524,693,9,16,1738,424,3190,608,226,113,2964,570
0400043US12,12,Florida -- Rural,1794811,12016,1531538,12033,168540,4177,9196,923,22855,2060,915,269,25860,2503,35907,2284,4708,778,31199,2126
0400043US13,13,Georgia -- Rural,2475322,10149,1969602,9867,393383,5809,5611,709,22354,1379,898,344,41572,2665,41902,1995,5052,777,36850,1845
0400043US15,15,Hawaii -- Rural,107783,3004,44133,1695,513,180,491,168,17678,1423,15921,1619,1034,369,28013,1974,786,274,27227,1967
0400043US16,16,Idaho -- Rural,478735,4244,443044,4400,1097,243,11319,752,2968,488,441,142,10936,1142,8930,775,1097,392,7833,655
