GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Ancestry specified:,Margin of Error; Ancestry specified:,Estimate; Ancestry specified: - Single ancestry,Margin of Error; Ancestry specified: - Single ancestry,Estimate; Ancestry specified: - Multiple ancestry,Margin of Error; Ancestry specified: - Multiple ancestry,Estimate; Ancestry not specified:,Margin of Error; Ancestry not specified:,Estimate; Ancestry not specified: - Ancestry unclassified,Margin of Error; Ancestry not specified: - Ancestry unclassified,Estimate; Ancestry not specified: - Ancestry not reported,Margin of Error; Ancestry not specified: - Ancestry not reported
0400001US11,11,District of Columbia -- Urban,672391,*****,550281,3333,414932,3872,135349,2788,122110,3333,36426,2587,85684,3315
0400001US12,12,Florida -- Urban,18483636,12016,15714165,30457,11640907,46955,4073258,29426,2769471,26653,254015,6338,2515456,23930
0400001US13,13,Georgia -- Urban,7726313,10149,6494221,20130,5205103,25491,1289118,13609,1232092,18545,153808,4366,1078284,17566
0400001US15,15,Hawaii -- Urban,1313875,3004,1177948,4607,744942,6774,433006,5518,135927,3956,8637,768,127290,3839
0400001US16,16,Idaho -- Urban,1178640,4244,952236,7200,607792,7284,344444,6404,226404,5448,28042,2280,198362,5313
0400001US17,17,Illinois -- Urban,11404710,4816,9864060,18513,6865231,25830,2998829,16421,1540650,18287,136543,3874,1404107,16439
0400001US18,18,Indiana -- Urban,4814249,5240,3726612,11141,2529120,11333,1197492,11393,1087637,10423,113268,4012,974369,10025
0400001US19,19,Iowa -- Urban,2015039,2607,1572887,6407,970324,7302,602563,6701,442152,5953,43244,2006,398908,6097
0400001US20,20,Kansas -- Urban,2163026,2799,1761632,6790,1148558,7408,613074,6536,401394,6173,47750,2336,353644,5990
0400001US21,21,Kentucky -- Urban,2613475,5642,1972706,9355,1396029,9103,576677,6811,640769,8686,67883,2808,572886,8721
0400001US22,22,Louisiana -- Urban,3420898,6574,2904564,11301,2260570,14664,643994,8761,516334,9813,48090,2425,468244,8787
0400001US23,23,Maine -- Urban,513690,3271,434250,4058,239963,3740,194287,4025,79440,2529,9265,1011,70175,2349
0400001US24,24,Maryland -- Urban,5236464,4843,4428825,12305,3207241,14603,1221584,8461,807639,11490,72972,2632,734667,10957
0400001US25,25,Massachusetts -- Urban,6247415,4793,5427650,14314,3412518,17918,2015132,11225,819765,12854,54817,2618,764948,12268
0400001US26,26,Michigan -- Urban,7405054,4962,6265733,12726,4010795,17971,2254938,12706,1139321,11867,116299,3023,1023022,10740
0400001US27,27,Minnesota -- Urban,4048041,3493,3485665,6613,1912865,12050,1572800,10032,562376,6647,59162,2236,503214,6439
0400001US28,28,Mississippi -- Urban,1480302,5582,1223894,7532,1019519,8124,204375,4519,256408,6080,23853,1587,232555,5756
0400001US29,29,Missouri -- Urban,4293811,4862,3424497,9610,2233889,11210,1190608,8938,869314,9641,108961,3636,760353,9283
0400001US30,30,Montana -- Urban,578947,2321,473608,3898,264251,3977,209357,3660,105339,3577,12021,1145,93318,3485
0400001US31,31,Nebraska -- Urban,1398426,1807,1157657,5077,703310,5660,454347,5448,240769,4674,25414,1464,215355,4425
0400001US32,32,Nevada -- Urban,2721445,2857,2367649,8259,1690482,10981,677167,7526,353796,7152,37562,1997,316234,6862
0400001US33,33,New Hampshire -- Urban,802030,3191,689348,4230,364878,4326,324470,4724,112682,2925,17748,1662,94934,2693
0400001US34,34,New Jersey -- Urban,8490452,4207,7536923,14398,5231764,21147,2305159,15287,953529,13804,83448,2778,870081,14131
0400001US35,35,New Mexico -- Urban,1622841,4164,1409107,6968,1086423,8451,322684,6215,213734,5208,25071,1431,188663,5132
0400001US36,36,New York -- Urban,17463601,6606,15214407,25278,11046636,40376,4167771,21505,2249194,26959,127246,3487,2121948,25386
0400001US37,37,North Carolina -- Urban,6713794,9694,5553455,14704,4128633,15113,1424822,12680,1160339,13124,144305,4512,1016034,11871
0400001US38,38,North Dakota -- Urban,447406,1623,383255,3167,207487,4134,175768,3373,64151,2910,5471,778,58680,2824
0400001US39,39,Ohio -- Urban,9069008,7193,7426259,14212,4672449,16889,2753810,15833,1642749,13490,174765,4592,1467984,11898
0400001US40,40,Oklahoma -- Urban,2594256,4401,2047363,6869,1427695,7001,619668,6641,546893,6102,60779,2355,486114,5887
0400001US41,41,Oregon -- Urban,3280375,5155,2696202,8252,1591031,8803,1105171,7195,584173,7052,88762,3343,495411,6613
0400001US42,42,Pennsylvania -- Urban,10095231,7923,8515764,13226,5169378,17226,3346386,14850,1579467,12865,136116,3630,1443351,11575
0400001US44,44,Rhode Island -- Urban,958309,1886,850689,3118,518700,4651,331989,4120,107620,3161,6754,709,100866,3078
0400001US45,45,South Carolina -- Urban,3288114,7884,2695135,12456,2043186,12711,651949,6785,592979,9586,69189,2877,523790,9070
0400001US46,46,South Dakota -- Urban,489795,1650,411285,2976,240563,3620,170722,3271,78510,2453,7747,930,70763,2328
0400001US47,47,Tennessee -- Urban,4400818,6677,3447993,10440,2634810,12381,813183,8428,952825,11374,118440,4032,834385,10254
0400001US48,48,Texas -- Urban,23206432,13756,20080759,41473,16087280,51550,3993479,20399,3125673,39568,272849,7387,2852824,35476
0400001US49,49,Utah -- Urban,2702646,3287,2251390,7852,1417070,8929,834320,7676,451256,7919,36958,1916,414298,7370
0400001US50,50,Vermont -- Urban,243871,2056,204207,2218,108905,1989,95302,2499,39664,1717,4608,584,35056,1637
0400001US51,51,Virginia -- Urban,6358364,6196,5312927,14259,3780025,18992,1532902,12085,1045437,13604,107416,3109,938021,12584
0400001US53,53,Washington -- Urban,6058120,6701,5127255,12022,3081218,14725,2046037,13434,930865,11251,116503,3664,814362,10541
0400001US54,54,West Virginia -- Urban,901835,3916,646536,4946,424659,4779,221877,3963,255299,4781,23064,1520,232235,4916
0400001US55,55,Wisconsin -- Urban,4044431,3732,3489302,8116,2014368,10779,1474934,8927,555129,7963,53987,2329,501142,7302
0400001US56,56,Wyoming -- Urban,377730,1805,293345,3412,173372,3122,119973,2921,84385,3138,8349,902,76036,3059
0400001US72,72,Puerto Rico -- Urban,3265102,5228,2999341,7124,2922715,7311,76626,2693,265761,4995,4410,512,261351,4984
0400043US01,01,Alabama -- Rural,1978972,6531,1455060,8451,1172136,8720,282924,5224,523912,6463,47705,2447,476207,6166
0400043US02,02,Alaska -- Rural,250105,2166,215635,2134,141166,2173,74469,2044,34470,1332,3482,465,30988,1307
0400043US04,04,Arizona -- Rural,700784,7665,591225,7385,424347,6170,166878,3902,109559,4240,8528,981,101031,4145
0400043US05,05,Arkansas -- Rural,1290365,5240,922461,6601,654545,6037,267916,4934,367904,5363,33691,1823,334213,5228
0400043US06,06,California -- Rural,1913962,11787,1641120,11865,1097947,10914,543173,7177,272842,5917,29487,1790,243355,5396
0400043US08,08,Colorado -- Rural,752582,4534,604937,4451,362500,3856,242437,3568,147645,3846,16561,1280,131084,3579
0400043US09,09,Connecticut -- Rural,425955,3834,365134,3649,180075,2740,185059,3569,60821,2696,5345,671,55476,2532
0400043US10,10,Delaware -- Rural,164647,2827,133596,2858,90213,2786,43383,1843,31051,1681,3296,547,27755,1575
0400043US12,12,Florida -- Rural,1794811,12016,1386110,10615,989009,10343,397101,6765,408701,7270,37828,2200,370873,6891
0400043US13,13,Georgia -- Rural,2475322,10149,1911164,11697,1522496,11050,388668,5748,564158,8500,55956,2598,508202,7883
0400043US15,15,Hawaii -- Rural,107783,3004,98175,2882,58779,2555,39396,1970,9608,1196,1750,600,7858,859
0400043US16,16,Idaho -- Rural,478735,4244,389106,4141,255824,4370,133282,2867,89629,4026,10047,1132,79582,3886
0400043US17,17,Illinois -- Rural,1449816,4817,1093366,5340,694084,4949,399282,4153,356450,4030,33702,1494,322748,4206
0400043US18,18,Indiana -- Rural,1800169,5240,1277912,7454,880765,6848,397147,5395,522257,7101,54402,2373,467855,6855
0400043US19,19,Iowa -- Rural,1103063,2608,862476,3775,547595,3850,314881,2704,240587,3207,22160,1003,218427,3302
0400043US20,20,Kansas -- Rural,740794,2799,573281,3066,369184,3291,204097,3160,167513,2906,18532,1046,148981,2917
0400043US21,21,Kentucky -- Rural,1810901,5642,1234644,7702,955078,7129,279566,4092,576257,6554,54410,2173,521847,6648
0400043US22,22,Louisiana -- Rural,1242563,6574,996460,8940,768496,8584,227964,5691,246103,6451,24085,1573,222018,6396
0400043US23,23,Maine -- Rural,816468,3271,670284,4115,395113,3539,275171,3950,146184,3239,20333,1373,125851,3075
0400043US24,24,Maryland -- Rural,759615,4843,602550,5025,373689,4318,228861,3862,157065,3928,16993,1399,140072,3486
0400043US25,25,Massachusetts -- Rural,541904,4793,468639,5165,242721,4496,225918,4436,73265,2379,7236,760,66029,2316
0400043US26,26,Michigan -- Rural,2520514,4962,1991997,6523,1119969,6100,872028,5752,528517,4980,63566,1955,464951,4849
0400043US27,27,Minnesota -- Rural,1442685,3493,1221467,4189,665860,3799,555607,4268,221218,2888,30085,1076,191133,2693
0400043US28,28,Mississippi -- Rural,1505918,5582,1178265,7901,990070,7376,188195,5529,327653,7278,29914,1964,297739,6765
